1,09/01/2022,11:21 am,11:21 am,0
1,09/07/2022,11:23 am,11:23 am,0
1,09/08/2022,11:30 am,11:30 am,0
1,09/14/2022,02:49 pm,02:49 pm,0
2,02/19/2024,07:13 pm,07:14 pm,0
2,02/19/2024,07:21 pm,07:21 pm,0
2,02/19/2024,07:23 pm,07:23 pm,0
2,02/19/2024,07:28 pm,07:28 pm,0
2,02/19/2024,07:29 pm,07:29 pm,0
2,02/20/2024,05:00 pm,05:00 pm,0
2,02/24/2024,08:25 am,08:25 am,0
2,02/24/2024,09:55 pm,11:21 am,0
2,02/28/2024,06:50 pm,11:21 am,0
2,02/28/2024,06:51 pm,11:21 am,0
2,02/28/2024,06:51 pm,11:21 am,0
2,02/28/2024,06:52 pm,11:21 am,0
2,02/28/2024,07:01 pm,11:21 am,0
2,02/28/2024,07:04 pm,11:21 am,0
2,02/28/2024,07:06 pm,11:21 am,0
2,02/28/2024,07:12 pm,07:12 pm,0
2,02/28/2024,07:18 pm,07:18 pm,0
2,02/28/2024,07:22 pm,07:22 pm,0
2,02/28/2024,08:03 pm,08:03 pm,0
